,name,description
239,yodha,"fate brings a young man from rural kerala to be the protector of a young lama in nepal, who is being chased by a dangerous cult."
240,white sun,"anti-regime partisan chandra confronts physical, social and political obstacles for his father's funeral. his search for a solution takes him to neighboring mountain villages and encounters with the police and rebel guerrillas. a portrait of post-civil war nepal during the fragile deadlocked peace process."
244,partu,a farmer and a child embark on a life long journey to join two families worlds apart.
245,border,"in 1971, along the border region of longewala, a small battalion of indian soldiers go up against a 2000-(armed) soldier pakistani strike force."
246,i am kalam,an impoverished boy forms an unlikely and unstable friendship with the lonely son of a nobleman.
247,vaaranam aayiram,"a father-son relationship through growing up, romance, tragedy, and adventure."
248,mankatha,vinayak and his 4 team members rob a booty of 500 crores inr. trouble starts when two of the team betrays them.
249,visaaranai,"a group of immigrants (pandi, murugan, afsal and kumar) are detained by the local state police, tortured and forced to admit to a crime they have no knowledge of. when all hope seems to be ..."
250,aandavan kattalai,debt-ridden gandhi & pandi come to chennai from their native village near madurai in search of a 'travel agent' who can arrange their travel to london on fake passports/reasons to earn some...
251,velaiyilla pattathari,a jobless young man gets to redeem himself.
252,kaakkaa muttai,two slum kids want nothing more than a slice of pizza.
253,thani oruvan,"revolving around a police officer who is passionate to destroy the most corrupt person in the country, siddharth abhimanyu."
254,kuttrame thandanai,a youth in need for money to get his eye-sight back on track uses the keen observation skills his limited vision provides as consolation to his advantage as he blackmails his way past two ...
255,ghajini,"a man, suffering from short-term memory loss, uses notes, tattoos and photo's to hunt down his girlfriend's killer"
256,joker,"mannar (protagonist), a villager, who declares himself as indian president, protests government for absurdities. on a trial, he reveals his past. when everyone sees him as joker, audience are questioned at the end."
257,in a small world,a japanese journalist. an indian software engineer. a belgian man looking for a new future. an austrian man running from his past. a young thai woman and her daughter. in the bright lights ...
258,i,"lingesan, a deformed hunchback who was once a body builder and a handsome model, seeks revenge on the people who ruined his life."
259,24,"a scientist invents a time machine, which leads to a bitter battle between his evil twin brother and his son."
260,baahubali: the beginning,"in ancient india, an adventurous and daring man becomes involved in a decades old feud between two warring people."
261,1 - nenokkadine,a rock star must overcome his psychological inhibitions to seek revenge for his parents' death.
262,nannaku prematho,an intelligent son of a former entrepreneur takes revenge on a powerful and rich businessman who is as smart as he is.
263,krishna gaadi veera prema gaadha,love story of krishna and maha lakshmi
264,athadu,"a gunman for hire is framed for murder, and assumes a dead man's identity while hiding from the police."
265,srimanthudu,"harsha, a multi-millionaire guy who has everything but there is something else he's looking for and in the process he adopts a complete village trying to bring change in the people."
266,abhinetri,the telugu version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. the hindi version is
267,kuruthipunal,police officers fight a terror group in india.
268,oopiri,a quadriplegic billionaire hires a young man to be his caregiver.
269,asura,the story deals with the ego between a jailor(cop) and the prisoner who is subjected to death.
270,ism,"hackers, lovers, and gangsters collide in this story about the fight against corruption and for love."
271,batman begins,"after training with his mentor, batman begins his fight to free crime-ridden gotham city from the corruption that scarecrow and the league of shadows have cast upon it."
272,actor in law,"estranged from his attorney father, an aspiring actor poses as a lawyer who becomes a celebrity for taking on difficult cases."
273,waar,the efforts of the pakistani security forces in their fight against terrorism and how the lives of security officials are affected. a retired security officer returns to save pakistan from a major terrorist attack.
